#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated from Parthenelope fitting function Dec 2014. Errors are guesstimates. 
#neutron lifetime of 880.3 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes

#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err D/H
 
     0.00500      1.36821     -3.00000      0.18482      0.18590      0.00030    7.462e-05     6.00e-07
     0.00600      1.64186     -3.00000      0.18561      0.18670      0.00030    6.826e-05     6.00e-07
     0.00700      1.91551     -3.00000      0.18638      0.18747      0.00030    6.236e-05     6.00e-07
     0.00800      2.18916     -3.00000      0.18713      0.18823      0.00030    5.690e-05     6.00e-07
     0.00900      2.46282     -3.00000      0.18786      0.18896      0.00030    5.186e-05     6.00e-07
     0.01000      2.73648     -3.00000      0.18857      0.18967      0.00030    4.722e-05     6.00e-07
     0.01100      3.01015     -3.00000      0.18926      0.19036      0.00030    4.297e-05     6.00e-07
     0.01200      3.28381     -3.00000      0.18993      0.19103      0.00030    3.907e-05     6.00e-07
     0.01300      3.55748     -3.00000      0.19057      0.19168      0.00030    3.552e-05     6.00e-07
     0.01400      3.83115     -3.00000      0.19119      0.19230      0.00030    3.229e-05     6.00e-07
     0.01500      4.10482     -3.00000      0.19180      0.19291      0.00030    2.937e-05     6.00e-07
     0.01600      4.37849     -3.00000      0.19238      0.19349      0.00030    2.673e-05     6.00e-07
     0.01700      4.65217     -3.00000      0.19294      0.19406      0.00030    2.436e-05     6.00e-07
     0.01800      4.92584     -3.00000      0.19348      0.19460      0.00030    2.223e-05     6.00e-07
     0.01900      5.19952     -3.00000      0.19400      0.19512      0.00030    2.033e-05     6.00e-07
     0.02000      5.47320     -3.00000      0.19450      0.19562      0.00030    1.864e-05     6.00e-07
     0.02025      5.54162     -3.00000      0.19462      0.19574      0.00030    1.825e-05     6.00e-07
     0.02050      5.61004     -3.00000      0.19474      0.19586      0.00030    1.787e-05     6.00e-07
     0.02075      5.67846     -3.00000      0.19486      0.19598      0.00030    1.750e-05     6.00e-07
     0.02100      5.74688     -3.00000      0.19497      0.19610      0.00030    1.714e-05     6.00e-07
     0.02125      5.81530     -3.00000      0.19509      0.19621      0.00030    1.679e-05     6.00e-07
     0.02150      5.88372     -3.00000      0.19520      0.19633      0.00030    1.646e-05     6.00e-07
     0.02175      5.95214     -3.00000      0.19532      0.19644      0.00030    1.613e-05     6.00e-07
     0.02200      6.02056     -3.00000      0.19543      0.19656      0.00030    1.581e-05     6.00e-07
     0.02225      6.08898     -3.00000      0.19554      0.19667      0.00030    1.550e-05     6.00e-07
     0.02250      6.15740     -3.00000      0.19565      0.19678      0.00030    1.520e-05     6.00e-07
     0.02275      6.22582     -3.00000      0.19576      0.19688      0.00030    1.491e-05     6.00e-07
     0.02300      6.29424     -3.00000      0.19586      0.19699      0.00030    1.463e-05     6.00e-07
     0.02325      6.36266     -3.00000      0.19597      0.19710      0.00030    1.435e-05     6.00e-07
     0.02350      6.43108     -3.00000      0.19607      0.19720      0.00030    1.409e-05     6.00e-07
     0.02375      6.49950     -3.00000      0.19618      0.19731      0.00030    1.383e-05     6.00e-07
     0.02400      6.56792     -3.00000      0.19628      0.19741      0.00030    1.358e-05     6.00e-07
     0.02500      6.84161     -3.00000      0.19667      0.19780      0.00030    1.264e-05     6.00e-07
     0.02600      7.11529     -3.00000      0.19704      0.19817      0.00030    1.180e-05     6.00e-07
     0.02700      7.38897     -3.00000      0.19739      0.19853      0.00030    1.102e-05     6.00e-07
     0.02800      7.66266     -3.00000      0.19772      0.19886      0.00030    1.031e-05     6.00e-07
     0.02900      7.93634     -3.00000      0.19803      0.19917      0.00030    9.622e-06     6.00e-07
     0.03000      8.21003     -3.00000      0.19832      0.19946      0.00030    8.955e-06     6.00e-07
     0.03100      8.48371     -3.00000      0.19858      0.19972      0.00030    8.283e-06     6.00e-07
     0.03200      8.75739     -3.00000      0.19883      0.19997      0.00030    7.589e-06     6.00e-07
     0.03300      9.03108     -3.00000      0.19905      0.20019      0.00030    6.852e-06     6.00e-07
     0.03400      9.30476     -3.00000      0.19925      0.20040      0.00030    6.054e-06     6.00e-07
     0.03500      9.57844     -3.00000      0.19944      0.20058      0.00030    5.175e-06     6.00e-07
     0.03600      9.85212     -3.00000      0.19960      0.20074      0.00030    4.196e-06     6.00e-07
     0.03700     10.12580     -3.00000      0.19974      0.20088      0.00030    3.098e-06     6.00e-07
     0.03800     10.39948     -3.00000      0.19986      0.20100      0.00030    1.862e-06     6.00e-07
     0.03900     10.67316     -3.00000      0.19995      0.20110      0.00030    4.671e-07     6.00e-07
     0.04000     10.94684     -3.00000      0.20003      0.20118      0.00030   -1.105e-06     6.00e-07

     0.00500      1.36839     -2.00000      0.20327      0.20443      0.00030    9.037e-05     6.00e-07
     0.00600      1.64207     -2.00000      0.20407      0.20524      0.00030    8.265e-05     6.00e-07
     0.00700      1.91576     -2.00000      0.20486      0.20602      0.00030    7.550e-05     6.00e-07
     0.00800      2.18945     -2.00000      0.20562      0.20679      0.00030    6.888e-05     6.00e-07
     0.00900      2.46315     -2.00000      0.20636      0.20753      0.00030    6.278e-05     6.00e-07
     0.01000      2.73685     -2.00000      0.20708      0.20825      0.00030    5.717e-05     6.00e-07
     0.01100      3.01055     -2.00000      0.20777      0.20895      0.00030    5.203e-05     6.00e-07
     0.01200      3.28425     -2.00000      0.20845      0.20963      0.00030    4.733e-05     6.00e-07
     0.01300      3.55795     -2.00000      0.20910      0.21029      0.00030    4.305e-05     6.00e-07
     0.01400      3.83166     -2.00000      0.20974      0.21092      0.00030    3.916e-05     6.00e-07
     0.01500      4.10537     -2.00000      0.21035      0.21154      0.00030    3.565e-05     6.00e-07
     0.01600      4.37908     -2.00000      0.21094      0.21213      0.00030    3.248e-05     6.00e-07
     0.01700      4.65279     -2.00000      0.21150      0.21270      0.00030    2.964e-05     6.00e-07
     0.01800      4.92650     -2.00000      0.21205      0.21325      0.00030    2.710e-05     6.00e-07
     0.01900      5.20021     -2.00000      0.21257      0.21377      0.00030    2.483e-05     6.00e-07
     0.02000      5.47393     -2.00000      0.21308      0.21428      0.00030    2.282e-05     6.00e-07
