# BICEP2 2014 Data Release
# The BICEP2 Collaboration, BICEP2 2014 I: DETECTION OF B-mode POLARIZATION AT DEGREE ANGULAR SCALES
# http://bicepkeck.org/bicep2_2014_release/
#
# File: B2_3yr_bpwf_bin2_20140314.txt 
# Date: 2014-03-14 
# 
# BICEP2 bandpower window functions for bin #2 (ell~ 73.9)
# See Section 6.3 of BICEP2 2014 I.
# 
# Columns: ell   TT->TT     TE->TE     EE->EE     BB->BB 
  2   4.52e-11   -9.72e-12   6.23e-11   4.32e-11
  3   1.14e-10   2.03e-11   1.21e-09   5.59e-11
  4   3.20e-10   2.00e-10   6.55e-09   9.13e-11
  5   1.11e-09   9.37e-10   2.52e-08   2.08e-10
  6   4.23e-09   3.20e-09   8.16e-08   6.53e-10
  7   1.53e-08   1.12e-08   2.28e-07   1.41e-09
  8   3.88e-08   2.75e-08   4.38e-07   4.86e-09
  9   6.74e-08   4.20e-08   6.87e-07   9.75e-09
 10   2.05e-07   1.14e-07   1.50e-06   3.67e-08
 11   4.21e-07   2.14e-07   2.77e-06   1.12e-07
 12   7.74e-07   4.70e-07   3.24e-06   3.11e-07
 13   1.45e-06   8.11e-07   5.03e-06   7.72e-07
 14   2.27e-06   1.11e-06   7.40e-06   1.39e-06
 15   3.19e-06   1.43e-06   8.94e-06   2.22e-06
 16   6.30e-06   3.33e-06   1.46e-05   3.67e-06
 17   8.16e-06   4.05e-06   1.66e-05   5.25e-06
 18   1.11e-05   5.47e-06   2.04e-05   9.60e-06
 19   1.32e-05   7.70e-06   2.15e-05   1.83e-05
 20   1.78e-05   1.02e-05   2.54e-05   2.72e-05
 21   2.58e-05   1.25e-05   3.52e-05   3.25e-05
 22   2.80e-05   1.49e-05   3.80e-05   3.54e-05
 23   3.66e-05   1.91e-05   4.58e-05   5.60e-05
 24   4.81e-05   2.72e-05   5.87e-05   6.81e-05
 25   4.85e-05   2.74e-05   5.80e-05   9.72e-05
 26   6.65e-05   3.63e-05   7.67e-05   1.16e-04
 27   8.35e-05   4.48e-05   8.76e-05   1.43e-04
 28   8.79e-05   4.87e-05   9.06e-05   1.84e-04
 29   1.12e-04   6.47e-05   1.06e-04   1.67e-04
 30   1.16e-04   6.84e-05   1.17e-04   2.45e-04
 31   1.44e-04   9.76e-05   1.44e-04   2.40e-04
 32   1.67e-04   1.16e-04   1.69e-04   3.48e-04
 33   2.20e-04   1.48e-04   2.04e-04   3.60e-04
 34   2.02e-04   1.54e-04   2.31e-04   4.07e-04
 35   2.67e-04   2.19e-04   2.95e-04   4.74e-04
 36   3.39e-04   2.88e-04   3.67e-04   5.64e-04
 37   3.36e-04   2.95e-04   3.94e-04   6.44e-04
 38   4.63e-04   4.15e-04   5.38e-04   7.60e-04
 39   4.89e-04   4.70e-04   5.97e-04   8.49e-04
 40   6.91e-04   7.04e-04   8.91e-04   1.01e-03
 41   7.99e-04   8.51e-04   1.08e-03   1.21e-03
 42   9.95e-04   1.07e-03   1.34e-03   1.43e-03
 43   1.46e-03   1.59e-03   1.93e-03   1.72e-03
 44   1.63e-03   1.78e-03   2.15e-03   2.02e-03
 45   2.33e-03   2.59e-03   3.07e-03   2.53e-03
 46   3.22e-03   3.60e-03   4.18e-03   3.09e-03
 47   3.77e-03   4.15e-03   4.75e-03   4.88e-03
 48   4.39e-03   4.80e-03   5.43e-03   4.36e-03
 49   5.48e-03   6.06e-03   6.85e-03   5.57e-03
 50   6.52e-03   7.21e-03   8.08e-03   7.02e-03
 51   7.12e-03   7.69e-03   8.41e-03   7.91e-03
 52   8.34e-03   8.91e-03   9.59e-03   8.40e-03
 53   1.06e-02   1.15e-02   1.24e-02   9.65e-03
 54   1.15e-02   1.21e-02   1.28e-02   1.17e-02
 55   1.15e-02   1.21e-02   1.28e-02   1.31e-02
 56   1.38e-02   1.44e-02   1.50e-02   1.55e-02
 57   1.48e-02   1.55e-02   1.63e-02   1.59e-02
 58   1.84e-02   1.90e-02   1.96e-02   1.81e-02
 59   1.81e-02   1.88e-02   1.95e-02   1.91e-02
 60   1.99e-02   2.03e-02   2.06e-02   2.07e-02
 61   2.11e-02   2.17e-02   2.22e-02   2.02e-02
 62   2.04e-02   2.12e-02   2.19e-02   2.07e-02
 63   1.94e-02   1.99e-02   2.04e-02   2.36e-02
 64   2.32e-02   2.38e-02   2.42e-02   2.23e-02
 65   2.55e-02   2.60e-02   2.64e-02   2.28e-02
 66   2.53e-02   2.57e-02   2.60e-02   2.46e-02
 67   2.41e-02   2.45e-02   2.49e-02   2.40e-02
 68   2.44e-02   2.49e-02   2.54e-02   2.68e-02
 69   2.73e-02   2.80e-02   2.85e-02   2.54e-02
 70   2.81e-02   2.87e-02   2.90e-02   2.92e-02
 71   2.55e-02   2.57e-02   2.59e-02   2.75e-02
 72   2.87e-02   2.93e-02   2.96e-02   3.01e-02
 73   2.61e-02   2.66e-02   2.70e-02   2.91e-02
 74   2.83e-02   2.86e-02   2.86e-02   2.92e-02
 75   2.89e-02   2.90e-02   2.87e-02   2.81e-02
 76   2.78e-02   2.80e-02   2.79e-02   2.61e-02
 77   2.94e-02   2.95e-02   2.94e-02   2.95e-02
 78   2.77e-02   2.78e-02   2.77e-02   2.81e-02
 79   2.67e-02   2.67e-02   2.63e-02   2.67e-02
 80   2.55e-02   2.54e-02   2.50e-02   2.54e-02
 81   2.59e-02   2.58e-02   2.53e-02   2.56e-02
 82   2.60e-02   2.56e-02   2.49e-02   2.28e-02
 83   2.35e-02   2.31e-02   2.24e-02   2.44e-02
 84   2.29e-02   2.24e-02   2.16e-02   2.36e-02
 85   2.21e-02   2.14e-02   2.04e-02   2.11e-02
 86   2.11e-02   2.04e-02   1.95e-02   1.97e-02
 87   1.91e-02   1.83e-02   1.74e-02   2.07e-02
 88   1.86e-02   1.77e-02   1.66e-02   1.71e-02
 89   1.63e-02   1.56e-02   1.46e-02   1.44e-02
 90   1.59e-02   1.50e-02   1.40e-02   1.55e-02
 91   1.37e-02   1.29e-02   1.19e-02   1.26e-02
 92   1.10e-02   1.04e-02   9.61e-03   1.22e-02
 93   1.12e-02   1.04e-02   9.51e-03   9.89e-03
 94   9.51e-03   8.73e-03   7.91e-03   9.16e-03
 95   9.14e-03   8.39e-03   7.61e-03   7.53e-03
 96   7.49e-03   6.81e-03   6.11e-03   6.34e-03
 97   6.54e-03   5.90e-03   5.26e-03   4.93e-03
 98   6.09e-03   5.46e-03   4.83e-03   4.46e-03
 99   5.12e-03   4.54e-03   4.00e-03   3.96e-03
100   3.88e-03   3.45e-03   3.04e-03   3.32e-03
101   3.53e-03   3.10e-03   2.69e-03   2.70e-03
102   3.14e-03   2.74e-03   2.36e-03   2.17e-03
103   2.57e-03   2.23e-03   1.93e-03   1.66e-03
104   2.11e-03   1.82e-03   1.57e-03   1.51e-03
105   1.76e-03   1.51e-03   1.29e-03   1.25e-03
106   1.46e-03   1.26e-03   1.08e-03   1.07e-03
