# BICEP2 2014 Data Release
# The BICEP2 Collaboration, BICEP2 2014 I: DETECTION OF B-mode POLARIZATION AT DEGREE ANGULAR SCALES
# http://bicepkeck.org/bicep2_2014_release/
#
# File: B2_3yr_bpwf_bin7_20140314.txt 
# Date: 2014-03-14 
# 
# BICEP2 bandpower window functions for bin #7 (ell~248.4)
# See Section 6.3 of BICEP2 2014 I.
# 
# Columns: ell   TT->TT     TE->TE     EE->EE     BB->BB 
  2   7.52e-10   -1.15e-10   6.96e-10   6.68e-10
  3   1.46e-09   -1.05e-10   1.36e-09   7.77e-10
  4   2.18e-09   -1.55e-10   3.07e-09   6.70e-10
  5   2.50e-09   -4.60e-10   8.19e-09   7.39e-10
  6   3.25e-09   -6.75e-10   2.41e-08   1.07e-09
  7   3.85e-09   -9.42e-10   6.90e-08   1.39e-09
  8   4.71e-09   -1.47e-09   1.31e-07   2.09e-09
  9   4.82e-09   -2.12e-09   1.97e-07   3.17e-09
 10   8.57e-09   -4.98e-09   4.46e-07   8.99e-09
 11   1.00e-08   -8.12e-09   8.22e-07   2.61e-08
 12   1.77e-08   -1.13e-08   1.02e-06   6.99e-08
 13   2.30e-08   -1.83e-08   1.72e-06   1.64e-07
 14   2.63e-08   -2.14e-08   2.73e-06   3.35e-07
 15   3.44e-08   -2.07e-08   3.42e-06   5.83e-07
 16   5.17e-08   -3.65e-08   5.88e-06   8.85e-07
 17   5.90e-08   -3.75e-08   7.70e-06   1.61e-06
 18   6.42e-08   -3.79e-08   9.15e-06   3.00e-06
 19   6.46e-08   -2.34e-08   9.69e-06   5.98e-06
 20   7.32e-08   -2.69e-08   1.35e-05   9.57e-06
 21   9.12e-08   -5.85e-08   2.09e-05   1.03e-05
 22   8.18e-08   -3.80e-08   2.07e-05   1.17e-05
 23   8.92e-08   -5.14e-08   2.69e-05   2.24e-05
 24   9.92e-08   -3.94e-08   3.35e-05   2.66e-05
 25   8.56e-08   -2.75e-08   3.84e-05   4.11e-05
 26   1.02e-07   -3.78e-08   4.81e-05   4.75e-05
 27   1.21e-07   -1.74e-08   6.42e-05   6.79e-05
 28   1.05e-07   -4.10e-08   5.12e-05   8.34e-05
 29   1.17e-07   -2.36e-08   5.67e-05   7.48e-05
 30   1.19e-07   9.85e-09   7.08e-05   1.11e-04
 31   1.17e-07   -2.23e-08   7.15e-05   1.21e-04
 32   1.25e-07   -2.07e-09   7.27e-05   1.54e-04
 33   1.34e-07   2.57e-08   9.36e-05   1.71e-04
 34   1.20e-07   2.40e-08   7.46e-05   1.96e-04
 35   1.30e-07   4.09e-08   8.00e-05   2.26e-04
 36   1.47e-07   -5.80e-10   1.04e-04   2.35e-04
 37   1.30e-07   2.00e-08   8.49e-05   2.02e-04
 38   1.49e-07   4.46e-08   1.26e-04   3.00e-04
 39   1.34e-07   5.54e-08   1.10e-04   2.73e-04
 40   1.48e-07   -2.97e-09   1.28e-04   3.11e-04
 41   1.40e-07   -7.47e-08   1.25e-04   3.02e-04
 42   1.46e-07   -7.11e-08   1.26e-04   2.94e-04
 43   1.60e-07   -1.28e-07   1.36e-04   3.72e-04
 44   1.58e-07   -1.12e-07   1.40e-04   3.31e-04
 45   1.64e-07   -1.66e-07   1.45e-04   3.65e-04
 46   1.74e-07   -2.29e-07   1.51e-04   4.22e-04
 47   1.76e-07   -2.03e-07   1.53e-04   4.83e-04
 48   1.76e-07   -1.64e-07   1.54e-04   3.50e-04
 49   1.81e-07   -1.91e-07   1.55e-04   3.91e-04
 50   1.83e-07   -1.95e-07   1.49e-04   4.21e-04
 51   1.77e-07   -1.08e-07   1.35e-04   4.27e-04
 52   1.82e-07   -9.24e-08   1.36e-04   3.97e-04
 53   2.06e-07   -1.86e-07   1.56e-04   3.95e-04
 54   2.13e-07   -2.24e-08   1.39e-04   4.20e-04
 55   2.05e-07   -7.85e-08   1.28e-04   3.99e-04
 56   2.23e-07   -5.48e-08   1.37e-04   4.63e-04
 57   2.39e-07   -9.20e-08   1.37e-04   4.03e-04
 58   2.50e-07   -9.70e-08   1.43e-04   4.33e-04
 59   2.52e-07   -3.80e-08   1.52e-04   3.91e-04
 60   2.77e-07   -1.40e-08   1.52e-04   4.29e-04
 61   2.89e-07   4.84e-08   1.43e-04   3.70e-04
 62   2.89e-07   4.92e-08   1.29e-04   3.94e-04
 63   2.92e-07   -4.55e-08   1.21e-04   4.16e-04
 64   3.10e-07   4.06e-08   1.37e-04   3.81e-04
 65   3.29e-07   4.84e-08   1.43e-04   3.73e-04
 66   3.51e-07   1.98e-09   1.34e-04   3.87e-04
 67   3.74e-07   1.09e-08   1.20e-04   3.65e-04
 68   3.84e-07   4.90e-08   1.13e-04   4.00e-04
 69   3.72e-07   7.05e-08   1.22e-04   3.23e-04
 70   3.66e-07   8.88e-08   1.26e-04   3.90e-04
 71   3.93e-07   1.17e-07   1.11e-04   3.68e-04
 72   4.29e-07   1.03e-07   1.13e-04   4.20e-04
 73   4.19e-07   4.54e-08   1.12e-04   3.94e-04
 74   4.50e-07   1.43e-07   1.16e-04   4.00e-04
 75   4.50e-07   9.81e-08   1.19e-04   3.81e-04
 76   4.75e-07   1.40e-07   1.22e-04   3.71e-04
 77   4.85e-07   1.22e-07   1.33e-04   4.00e-04
 78   4.81e-07   7.30e-08   1.22e-04   3.95e-04
 79   5.04e-07   1.26e-07   1.21e-04   3.92e-04
 80   5.28e-07   1.21e-07   1.18e-04   3.96e-04
 81   5.47e-07   1.43e-07   1.19e-04   4.30e-04
 82   5.91e-07   2.38e-07   1.25e-04   4.05e-04
 83   5.44e-07   2.30e-07   1.17e-04   4.08e-04
 84   5.60e-07   1.41e-07   1.15e-04   4.58e-04
 85   5.66e-07   2.49e-07   1.17e-04   4.22e-04
 86   6.19e-07   3.21e-07   1.20e-04   4.47e-04
 87   6.32e-07   3.01e-07   1.16e-04   4.91e-04
 88   5.95e-07   3.08e-07   1.14e-04   4.29e-04
 89   6.31e-07   4.52e-07   1.19e-04   4.32e-04
 90   6.68e-07   4.34e-07   1.26e-04   4.86e-04
 91   6.19e-07   4.28e-07   1.15e-04   4.39e-04
 92   6.44e-07   4.56e-07   1.01e-04   4.41e-04
 93   6.69e-07   3.73e-07   9.84e-05   4.28e-04
 94   6.51e-07   4.62e-07   9.56e-05   4.18e-04
 95   7.28e-07   4.90e-07   1.05e-04   3.99e-04
 96   7.26e-07   5.33e-07   1.03e-04   4.09e-04
