# BIN1 BIN2 ANGBIN VALUE
1 1 1 1.11701555e-03
1 1 2 1.19740119e-03
1 1 3 7.63949115e-04
1 1 4 5.70410769e-04
1 1 5 5.29940066e-04
1 1 6 5.20817337e-04
1 1 7 4.17076797e-04
1 1 8 2.37488922e-04
1 1 9 1.93331932e-04
1 1 10 1.69881797e-04
1 1 11 1.65491034e-04
1 1 12 1.11987437e-04
1 1 13 6.32646299e-05
1 1 14 5.99532681e-05
1 1 15 5.54503688e-05
1 1 16 4.23769557e-05
1 1 17 2.98383878e-05
1 1 18 5.11371479e-05
1 1 19 3.53275079e-05
1 1 20 1.15418759e-05
1 2 1 2.06103040e-03
1 2 2 1.06990583e-03
1 2 3 1.41653814e-03
1 2 4 1.19409878e-03
1 2 5 8.81910150e-04
1 2 6 7.42747199e-04
1 2 7 4.18099290e-04
1 2 8 3.46907992e-04
1 2 9 3.59107446e-04
1 2 10 2.75691542e-04
1 2 11 1.35393222e-04
1 2 12 2.04954839e-04
1 2 13 1.53510547e-04
1 2 14 1.00016378e-04
1 2 15 1.12851649e-04
1 2 16 7.77313096e-05
1 2 17 7.98271281e-05
1 2 18 5.35390561e-05
1 2 19 5.01388907e-05
1 2 20 4.67037848e-05
1 3 1 2.78938019e-03
1 3 2 2.02498049e-03
1 3 3 1.89977545e-03
1 3 4 1.68758462e-03
1 3 5 1.32825349e-03
1 3 6 9.52150471e-04
1 3 7 6.71344337e-04
1 3 8 5.61232268e-04
1 3 9 4.95735818e-04
1 3 10 3.79214450e-04
1 3 11 3.33447074e-04
1 3 12 2.61821692e-04
1 3 13 1.84777903e-04
1 3 14 1.75856339e-04
1 3 15 1.88583019e-04
1 3 16 1.34255835e-04
1 3 17 1.16696016e-04
1 3 18 1.07541674e-04
1 3 19 8.90790361e-05
1 3 20 8.31368063e-05
1 4 1 2.11710501e-03
1 4 2 2.67493612e-03
1 4 3 2.05339811e-03
1 4 4 1.70091504e-03
1 4 5 1.48320085e-03
1 4 6 1.12394518e-03
1 4 7 7.90951693e-04
1 4 8 7.54920664e-04
1 4 9 5.54916361e-04
1 4 10 2.79665132e-04
1 4 11 3.13904940e-04
1 4 12 3.24585218e-04
1 4 13 2.75460045e-04
1 4 14 1.67753340e-04
1 4 15 1.92825859e-04
1 4 16 1.53627892e-04
1 4 17 1.12589783e-04
1 4 18 1.14530980e-04
1 4 19 7.89008147e-05
1 4 20 5.57237844e-05
2 1 1 5.42396745e-04
2 1 2 5.09315531e-04
2 1 3 5.30036005e-04
2 1 4 2.78483705e-04
2 1 5 2.66320163e-04
2 1 6 1.52886444e-04
2 1 7 1.13846771e-04
2 1 8 6.90702776e-05
2 1 9 8.52311231e-05
2 1 10 9.86848558e-05
2 1 11 5.22398748e-05
2 1 12 6.17484425e-05
2 1 13 4.86606664e-05
2 1 14 5.59178539e-06
2 1 15 5.26175805e-06
2 1 16 2.58253404e-05
2 1 17 2.06727107e-05
2 1 18 2.08904066e-05
2 1 19 1.36400002e-05
2 1 20 2.48250150e-05
2 2 1 1.04585108e-03
2 2 2 8.90033814e-04
2 2 3 4.64186783e-04
2 2 4 6.12956902e-04
2 2 5 4.22818225e-04
2 2 6 4.41675107e-04
2 2 7 3.02961859e-04
2 2 8 1.78594121e-04
2 2 9 1.86959159e-04
2 2 10 1.52303783e-04
2 2 11 1.38107551e-04
2 2 12 5.12370839e-05
2 2 13 7.49779406e-05
2 2 14 5.27365087e-05
2 2 15 5.31720360e-05
2 2 16 3.80722086e-05
2 2 17 2.66430443e-05
2 2 18 2.69750481e-05
2 2 19 3.49792225e-05
2 2 20 3.51375627e-05
2 3 1 2.00430706e-03
2 3 2 1.66002511e-03
2 3 3 1.47990767e-03
2 3 4 1.06824759e-03
2 3 5 7.59425484e-04
2 3 6 6.62036465e-04
2 3 7 4.64645543e-04
2 3 8 4.31657301e-04
2 3 9 4.31607508e-04
2 3 10 2.86075106e-04
2 3 11 2.51038718e-04
2 3 12 1.85014608e-04
2 3 13 1.74370681e-04
2 3 14 1.60861432e-04
2 3 15 1.35042009e-04
2 3 16 1.14960716e-04
2 3 17 1.18525135e-04
2 3 18 8.27940905e-05
2 3 19 7.43032894e-05
2 3 20 6.61839355e-05
2 4 1 2.42412066e-03
2 4 2 2.07701519e-03
2 4 3 1.26168861e-03
2 4 4 1.43642946e-03
2 4 5 1.11767394e-03
2 4 6 9.56270468e-04
2 4 7 6.52958284e-04
2 4 8 5.76826991e-04
2 4 9 3.76014803e-04
2 4 10 3.61691381e-04
2 4 11 2.09329771e-04
2 4 12 2.48033965e-04
2 4 13 2.25725436e-04
2 4 14 1.60715006e-04
2 4 15 1.74548300e-04
2 4 16 1.68768539e-04
2 4 17 1.30300699e-04
2 4 18 1.04167759e-04
2 4 19 9.13646640e-05
2 4 20 6.13781729e-05
3 1 1 1.61968868e-04
3 1 2 2.10223091e-04
3 1 3 1.67948362e-04
3 1 4 -5.87684343e-05
3 1 5 -9.53980640e-06
3 1 6 1.24600881e-05
3 1 7 7.38047250e-05
3 1 8 3.10809612e-05
3 1 9 5.61605570e-05
3 1 10 5.01976499e-05
3 1 11 2.91002626e-05
3 1 12 2.52320284e-05
3 1 13 3.09696505e-05
3 1 14 1.95260839e-05
3 1 15 3.62468415e-05
3 1 16 2.80627147e-05
3 1 17 1.76865352e-05
3 1 18 1.37961059e-05
3 1 19 4.82453063e-06
3 1 20 7.62258677e-06
3 2 1 2.76672389e-04
3 2 2 3.44625417e-04
3 2 3 1.31980061e-04
3 2 4 1.70087266e-04
3 2 5 3.06555101e-05
3 2 6 8.14695590e-05
3 2 7 3.79978391e-05
3 2 8 7.57862835e-05
3 2 9 4.37689691e-05
3 2 10 1.69421359e-05
3 2 11 -3.05009950e-05
3 2 12 1.04193652e-06
3 2 13 6.62093218e-06
3 2 14 1.01093526e-05
3 2 15 -3.35269674e-06
3 2 16 4.18403721e-06
3 2 17 6.09181146e-06
3 2 18 -1.36317415e-05
3 2 19 -1.09260571e-05
3 2 20 -1.55792915e-05
3 3 1 1.13079344e-03
3 3 2 1.15441891e-03
3 3 3 7.65303671e-04
3 3 4 4.96498595e-04
3 3 5 4.05968369e-04
3 3 6 1.83468700e-04
3 3 7 1.98495539e-04
3 3 8 2.30748781e-04
3 3 9 1.70715918e-04
3 3 10 1.36785137e-04
3 3 11 1.28949411e-04
3 3 12 1.20200709e-04
3 3 13 1.08932512e-04
3 3 14 8.42031772e-05
3 3 15 7.94977916e-05
3 3 16 6.09806974e-05
3 3 17 5.78943776e-05
3 3 18 4.37965251e-05
3 3 19 3.29113198e-05
3 3 20 2.19353765e-05
3 4 1 1.92393171e-03
3 4 2 1.28204786e-03
3 4 3 1.48468949e-03
3 4 4 9.48278895e-04
3 4 5 6.02429972e-04
3 4 6 4.55130485e-04
3 4 7 5.93645466e-04
3 4 8 3.93266048e-04
3 4 9 2.91132918e-04
3 4 10 2.17498275e-04
3 4 11 2.25757904e-04
3 4 12 1.37629104e-04
3 4 13 1.43795464e-04
3 4 14 1.33955759e-04
3 4 15 1.08084578e-04
3 4 16 9.24464633e-05
3 4 17 8.42420916e-05
3 4 18 8.43273915e-05
3 4 19 4.76521545e-05
3 4 20 2.45390237e-05
4 1 1 -2.50511089e-04
4 1 2 2.94159809e-05
4 1 3 8.91760024e-05
4 1 4 -8.49166656e-05
4 1 5 6.36858211e-05
4 1 6 1.05943963e-04
4 1 7 1.49791374e-05
