# Z_LOW Z_MID Z_HIGH BIN1 BIN2 BIN3 BIN4 BIN5
1.000000e-04 5.100000e-03 1.010000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.010000e-02 1.510000e-02 2.010000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.010000e-02 2.510000e-02 3.010000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.010000e-02 3.510000e-02 4.010000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.010000e-02 4.510000e-02 5.010000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.010000e-02 5.510000e-02 6.010000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
6.010000e-02 6.510000e-02 7.010000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.010000e-02 7.510000e-02 8.010000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
8.010000e-02 8.510000e-02 9.010000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.010000e-02 9.510000e-02 1.001000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.001000e-01 1.051000e-01 1.101000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.101000e-01 1.151000e-01 1.201000e-01 1.763529e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.201000e-01 1.251000e-01 1.301000e-01 2.186606e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.301000e-01 1.351000e-01 1.401000e-01 2.021798e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.401000e-01 1.451000e-01 1.501000e-01 1.070936e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.501000e-01 1.551000e-01 1.601000e-01 2.769413e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.601000e-01 1.651000e-01 1.701000e-01 3.590094e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.701000e-01 1.751000e-01 1.801000e-01 3.783064e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.801000e-01 1.851000e-01 1.901000e-01 4.129249e+00 6.492965e-04 0.000000e+00 0.000000e+00 0.000000e+00
1.901000e-01 1.951000e-01 2.001000e-01 5.084478e+00 6.257664e-04 0.000000e+00 7.322306e-04 0.000000e+00
2.001000e-01 2.051000e-01 2.101000e-01 6.079050e+00 5.921355e-04 0.000000e+00 0.000000e+00 0.000000e+00
2.101000e-01 2.151000e-01 2.201000e-01 6.959840e+00 5.814527e-04 0.000000e+00 0.000000e+00 0.000000e+00
2.201000e-01 2.251000e-01 2.301000e-01 7.358086e+00 6.696852e-03 0.000000e+00 0.000000e+00 0.000000e+00
2.301000e-01 2.351000e-01 2.401000e-01 7.557070e+00 1.957378e-02 0.000000e+00 0.000000e+00 0.000000e+00
2.401000e-01 2.451000e-01 2.501000e-01 7.529122e+00 6.038863e-02 0.000000e+00 0.000000e+00 0.000000e+00
2.501000e-01 2.551000e-01 2.601000e-01 7.727986e+00 1.688057e-01 0.000000e+00 0.000000e+00 0.000000e+00
2.601000e-01 2.651000e-01 2.701000e-01 7.880696e+00 4.130326e-01 0.000000e+00 0.000000e+00 0.000000e+00
2.701000e-01 2.751000e-01 2.801000e-01 7.765040e+00 7.883115e-01 0.000000e+00 0.000000e+00 0.000000e+00
2.801000e-01 2.851000e-01 2.901000e-01 7.152013e+00 1.472391e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.901000e-01 2.951000e-01 3.001000e-01 5.461265e+00 2.289352e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.001000e-01 3.051000e-01 3.101000e-01 3.822236e+00 3.204214e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.101000e-01 3.151000e-01 3.201000e-01 2.199486e+00 4.032760e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.201000e-01 3.251000e-01 3.301000e-01 1.114483e+00 4.769894e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.301000e-01 3.351000e-01 3.401000e-01 4.796890e-01 5.148221e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.401000e-01 3.451000e-01 3.501000e-01 1.615371e-01 5.460348e+00 4.003921e-04 0.000000e+00 0.000000e+00
3.501000e-01 3.551000e-01 3.601000e-01 6.693154e-02 5.874958e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.601000e-01 3.651000e-01 3.701000e-01 2.628281e-02 6.159499e+00 8.777153e-04 0.000000e+00 0.000000e+00
3.701000e-01 3.751000e-01 3.801000e-01 4.552348e-03 6.432678e+00 1.217515e-02 1.442063e-03 0.000000e+00
3.801000e-01 3.851000e-01 3.901000e-01 1.588733e-03 6.645563e+00 3.878064e-02 0.000000e+00 0.000000e+00
3.901000e-01 3.951000e-01 4.001000e-01 0.000000e+00 6.976036e+00 8.613222e-02 6.683531e-04 0.000000e+00
4.001000e-01 4.051000e-01 4.101000e-01 0.000000e+00 7.091439e+00 2.067105e-01 0.000000e+00 0.000000e+00
4.101000e-01 4.151000e-01 4.201000e-01 0.000000e+00 6.946473e+00 4.875211e-01 1.320066e-03 0.000000e+00
4.201000e-01 4.251000e-01 4.301000e-01 0.000000e+00 6.577854e+00 9.303101e-01 6.340175e-04 0.000000e+00
4.301000e-01 4.351000e-01 4.401000e-01 0.000000e+00 5.887145e+00 1.622044e+00 1.365089e-03 0.000000e+00
4.401000e-01 4.451000e-01 4.501000e-01 0.000000e+00 4.788628e+00 2.516808e+00 1.263027e-03 0.000000e+00
4.501000e-01 4.551000e-01 4.601000e-01 0.000000e+00 3.621673e+00 3.439273e+00 1.381761e-03 0.000000e+00
4.601000e-01 4.651000e-01 4.701000e-01 0.000000e+00 2.377066e+00 4.436252e+00 4.276448e-03 0.000000e+00
4.701000e-01 4.751000e-01 4.801000e-01 0.000000e+00 1.447144e+00 5.283163e+00 4.260865e-03 0.000000e+00
4.801000e-01 4.851000e-01 4.901000e-01 0.000000e+00 7.059969e-01 5.993617e+00 4.880501e-03 0.000000e+00
4.901000e-01 4.951000e-01 5.001000e-01 0.000000e+00 3.787994e-01 6.348274e+00 6.191711e-03 0.000000e+00
5.001000e-01 5.051000e-01 5.101000e-01 0.000000e+00 1.554959e-01 6.665582e+00 6.971691e-03 0.000000e+00
5.101000e-01 5.151000e-01 5.201000e-01 0.000000e+00 6.482664e-02 7.013787e+00 9.001790e-03 0.000000e+00
5.201000e-01 5.251000e-01 5.301000e-01 0.000000e+00 1.981120e-02 7.140998e+00 1.465522e-02 0.000000e+00
5.301000e-01 5.351000e-01 5.401000e-01 0.000000e+00 9.888783e-03 7.239107e+00 2.654485e-02 0.000000e+00
5.401000e-01 5.451000e-01 5.501000e-01 0.000000e+00 2.587162e-03 6.985572e+00 7.269933e-02 2.398542e-03
5.501000e-01 5.551000e-01 5.601000e-01 0.000000e+00 0.000000e+00 6.918871e+00 1.637604e-01 0.000000e+00
5.601000e-01 5.651000e-01 5.701000e-01 0.000000e+00 0.000000e+00 6.427506e+00 4.260361e-01 0.000000e+00
5.701000e-01 5.751000e-01 5.801000e-01 0.000000e+00 0.000000e+00 5.664723e+00 9.514955e-01 0.000000e+00
5.801000e-01 5.851000e-01 5.901000e-01 0.000000e+00 0.000000e+00 4.718731e+00 1.816190e+00 0.000000e+00
5.901000e-01 5.951000e-01 6.001000e-01 0.000000e+00 0.000000e+00 3.638870e+00 2.996043e+00 0.000000e+00
6.001000e-01 6.051000e-01 6.101000e-01 0.000000e+00 0.000000e+00 2.606221e+00 4.062658e+00 0.000000e+00
6.101000e-01 6.151000e-01 6.201000e-01 0.000000e+00 0.000000e+00 1.658001e+00 5.225252e+00 0.000000e+00
6.201000e-01 6.251000e-01 6.301000e-01 0.000000e+00 0.000000e+00 9.792309e-01 5.712640e+00 2.368853e-03
6.301000e-01 6.351000e-01 6.401000e-01 0.000000e+00 0.000000e+00 5.068917e-01 6.033096e+00 1.418196e-02
6.401000e-01 6.451000e-01 6.501000e-01 0.000000e+00 0.000000e+00 2.492387e-01 6.143437e+00 0.000000e+00
6.501000e-01 6.551000e-01 6.601000e-01 0.000000e+00 0.000000e+00 1.106417e-01 6.163097e+00 7.120331e-03
6.601000e-01 6.651000e-01 6.701000e-01 0.000000e+00 0.000000e+00 4.492680e-02 6.201911e+00 2.368691e-02
6.701000e-01 6.751000e-01 6.801000e-01 0.000000e+00 0.000000e+00 1.707140e-02 6.230127e+00 7.161679e-02
6.801000e-01 6.851000e-01 6.901000e-01 0.000000e+00 0.000000e+00 7.546933e-03 6.195470e+00 1.145825e-01
6.901000e-01 6.951000e-01 7.001000e-01 0.000000e+00 0.000000e+00 2.879689e-03 6.158005e+00 2.059739e-01
7.001000e-01 7.051000e-01 7.101000e-01 0.000000e+00 0.000000e+00 8.247272e-04 5.878827e+00 4.009454e-01
7.101000e-01 7.151000e-01 7.201000e-01 0.000000e+00 0.000000e+00 4.405254e-04 5.494346e+00 7.811762e-01
7.201000e-01 7.251000e-01 7.301000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.154588e+00 1.244197e+00
7.301000e-01 7.351000e-01 7.401000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.444143e+00 1.797559e+00
7.401000e-01 7.451000e-01 7.501000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.866764e+00 2.487516e+00
7.501000e-01 7.551000e-01 7.601000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.154754e+00 3.592928e+00
7.601000e-01 7.651000e-01 7.701000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.350059e+00 4.329252e+00
7.701000e-01 7.751000e-01 7.801000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.786366e+00 5.098635e+00
7.801000e-01 7.851000e-01 7.901000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.234444e+00 5.567252e+00
7.901000e-01 7.951000e-01 8.001000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.941634e-01 6.284835e+00
8.001000e-01 8.051000e-01 8.101000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.735758e-01 6.524973e+00
8.101000e-01 8.151000e-01 8.201000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.050258e-01 6.547375e+00
8.201000e-01 8.251000e-01 8.301000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.767339e-01 6.826776e+00
