# Z_LOW Z_MID Z_HIGH BIN1 BIN2 BIN3 BIN4
1.000000e-04 5.100000e-03 1.010000e-02 1.065379e-02 3.369759e-03 3.765066e-03 6.840606e-03
1.010000e-02 1.510000e-02 2.010000e-02 3.189173e-02 1.152812e-02 8.802464e-03 1.940291e-02
2.010000e-02 2.510000e-02 3.010000e-02 5.396526e-02 2.034134e-02 1.347634e-02 2.952395e-02
3.010000e-02 3.510000e-02 4.010000e-02 8.261210e-02 3.129647e-02 1.885129e-02 4.198454e-02
4.010000e-02 4.510000e-02 5.010000e-02 1.147545e-01 4.174681e-02 2.517401e-02 5.538602e-02
5.010000e-02 5.510000e-02 6.010000e-02 1.523143e-01 5.882753e-02 3.309363e-02 7.277998e-02
6.010000e-02 6.510000e-02 7.010000e-02 1.919910e-01 7.530797e-02 4.296070e-02 8.895331e-02
7.010000e-02 7.510000e-02 8.010000e-02 2.306649e-01 9.859615e-02 5.517769e-02 1.107212e-01
8.010000e-02 8.510000e-02 9.010000e-02 2.730433e-01 1.242582e-01 6.438262e-02 1.315227e-01
9.010000e-02 9.510000e-02 1.001000e-01 3.213126e-01 1.538356e-01 8.074118e-02 1.593683e-01
1.001000e-01 1.051000e-01 1.101000e-01 3.877421e-01 1.904664e-01 9.651551e-02 1.870613e-01
1.101000e-01 1.151000e-01 1.201000e-01 4.715519e-01 2.326634e-01 1.135622e-01 2.073543e-01
1.201000e-01 1.251000e-01 1.301000e-01 5.673245e-01 2.690077e-01 1.224295e-01 2.076086e-01
1.301000e-01 1.351000e-01 1.401000e-01 7.172714e-01 3.187765e-01 1.309594e-01 1.937748e-01
1.401000e-01 1.451000e-01 1.501000e-01 9.065745e-01 3.659258e-01 1.404629e-01 1.940800e-01
1.501000e-01 1.551000e-01 1.601000e-01 1.066005e+00 4.077136e-01 1.521476e-01 2.036161e-01
1.601000e-01 1.651000e-01 1.701000e-01 1.254361e+00 4.572504e-01 1.570422e-01 2.040738e-01
1.701000e-01 1.751000e-01 1.801000e-01 1.457424e+00 5.231721e-01 1.697136e-01 1.987845e-01
1.801000e-01 1.851000e-01 1.901000e-01 1.599098e+00 5.836504e-01 1.791133e-01 2.022938e-01
1.901000e-01 1.951000e-01 2.001000e-01 1.731094e+00 6.427372e-01 1.899800e-01 2.024972e-01
2.001000e-01 2.051000e-01 2.101000e-01 1.857435e+00 6.950299e-01 1.972765e-01 2.014800e-01
