#  type bin1 bin2 theta_min theta_max
xip 1 1 7.195005 250.0
xip 1 2 7.195005 250.0
xip 1 3 5.715196 250.0
xip 1 4 5.715196 250.0
xip 2 2 4.539741 250.0
xip 2 3 4.539741 250.0
xip 2 4 4.539741 250.0
xip 3 3 3.606045 250.0
xip 3 4 3.606045 250.0
xip 4 4 3.606045 250.0
xim 1 1 90.57975 250.0
xim 1 2 71.950053 250.0
xim 1 3 71.950053 250.0
xim 1 4 71.950053 250.0
xim 2 2 57.151958 250.0
xim 2 3 57.151958 250.0
xim 2 4 45.397414 250.0
xim 3 3 45.397414 250.0
xim 3 4 45.397414 250.0
xim 4 4 36.060448 250.0
gammat 1 1 64.0 250.0
gammat 1 2 64.0 250.0
gammat 1 3 64.0 250.0
gammat 1 4 64.0 250.0
gammat 2 1 40.0 250.0
gammat 2 2 40.0 250.0
gammat 2 3 40.0 250.0
gammat 2 4 40.0 250.0
gammat 3 1 30.0 250.0
gammat 3 2 30.0 250.0
gammat 3 3 30.0 250.0
gammat 3 4 30.0 250.0
gammat 4 1 24.0 250.0
gammat 4 2 24.0 250.0
gammat 4 3 24.0 250.0
gammat 4 4 24.0 250.0
gammat 5 1 21.0 250.0
gammat 5 2 21.0 250.0
gammat 5 3 21.0 250.0
gammat 5 4 21.0 250.0
wtheta 1 1 43.0 250.0
wtheta 2 2 27.0 250.0
wtheta 3 3 20.0 250.0
wtheta 4 4 16.0 250.0
wtheta 5 5 14.0 250.0
