# BIN1 BIN2 ANGBIN VALUE
1 1 1 5.75183524e-01
1 1 2 4.21863522e-01
1 1 3 3.24344017e-01
1 1 4 2.52745588e-01
1 1 5 1.98435753e-01
1 1 6 1.69554559e-01
1 1 7 1.35211807e-01
1 1 8 1.08796387e-01
1 1 9 8.97136927e-02
1 1 10 7.17938882e-02
1 1 11 5.58050577e-02
1 1 12 4.52328450e-02
1 1 13 4.18973407e-02
1 1 14 3.20039925e-02
1 1 15 2.22142823e-02
1 1 16 1.98142740e-02
1 1 17 1.65971850e-02
1 1 18 1.20386419e-02
1 1 19 7.73682453e-03
1 1 20 6.10124635e-03
2 2 1 3.56986489e-01
2 2 2 2.88611382e-01
2 2 3 2.26981262e-01
2 2 4 1.76510830e-01
2 2 5 1.49427875e-01
2 2 6 1.24320525e-01
2 2 7 1.03413224e-01
2 2 8 8.69506787e-02
2 2 9 7.21714961e-02
2 2 10 6.06199068e-02
2 2 11 4.97670634e-02
2 2 12 4.16508302e-02
2 2 13 3.36083972e-02
2 2 14 2.60101708e-02
2 2 15 1.85967918e-02
2 2 16 1.35206251e-02
2 2 17 1.01328178e-02
2 2 18 6.93707097e-03
2 2 19 3.70546815e-03
2 2 20 1.13510457e-03
3 3 1 2.21421060e-01
3 3 2 1.89751598e-01
3 3 3 1.61947637e-01
3 3 4 1.31116143e-01
3 3 5 1.08066388e-01
3 3 6 8.99261873e-02
3 3 7 7.75498125e-02
3 3 8 6.40440984e-02
3 3 9 5.36839784e-02
3 3 10 4.42552343e-02
3 3 11 3.60242862e-02
3 3 12 2.85995485e-02
3 3 13 2.05224048e-02
3 3 14 1.52401298e-02
3 3 15 1.14805133e-02
3 3 16 8.02514167e-03
3 3 17 4.37039840e-03
3 3 18 1.77649338e-03
3 3 19 2.10092600e-03
3 3 20 1.68087753e-03
4 4 1 2.62639842e-01
4 4 2 2.05844382e-01
4 4 3 1.75655668e-01
4 4 4 1.54540153e-01
4 4 5 1.21318904e-01
4 4 6 1.05576676e-01
4 4 7 8.28232466e-02
4 4 8 6.83450908e-02
4 4 9 5.76809552e-02
4 4 10 4.53227761e-02
4 4 11 3.69207736e-02
4 4 12 2.82136704e-02
4 4 13 2.03630330e-02
4 4 14 1.46186281e-02
4 4 15 1.05435672e-02
4 4 16 7.46764506e-03
4 4 17 4.86289456e-03
4 4 18 3.15426177e-03
4 4 19 5.39072055e-04
4 4 20 -8.34772186e-04
5 5 1 1.98142352e-01
5 5 2 2.09486285e-01
5 5 3 1.81926482e-01
5 5 4 1.40489519e-01
5 5 5 9.95756365e-02
5 5 6 1.02915685e-01
5 5 7 7.95388441e-02
5 5 8 6.45480653e-02
5 5 9 5.46655884e-02
5 5 10 3.90537614e-02
5 5 11 3.19499502e-02
5 5 12 2.11390701e-02
5 5 13 1.69111630e-02
5 5 14 1.35900451e-02
5 5 15 6.22766812e-03
5 5 16 2.74600538e-03
5 5 17 -1.37705971e-03
5 5 18 2.04697866e-04
5 5 19 1.56088123e-03
5 5 20 -8.35498183e-04
