# BIN1 BIN2 ANGBIN VALUE
1 1 1 1.54569882e-05
1 1 2 6.90308053e-06
1 1 3 -4.36517173e-06
1 1 4 -1.87648157e-06
1 1 5 -3.39433870e-06
1 1 6 3.66791807e-06
1 1 7 7.46687004e-06
1 1 8 7.59440545e-06
1 1 9 1.04934861e-07
1 1 10 8.49573907e-07
1 1 11 2.50667792e-06
1 1 12 8.76265237e-08
1 1 13 2.15283747e-06
1 1 14 6.80861860e-07
1 1 15 3.03815524e-07
1 1 16 1.12768320e-07
1 1 17 5.33104361e-07
1 1 18 1.55649613e-07
1 1 19 3.36576813e-07
1 1 20 5.66196353e-07
1 2 1 9.19228963e-06
1 2 2 -4.76536463e-07
1 2 3 1.25277560e-06
1 2 4 2.73784116e-06
1 2 5 -1.96429122e-06
1 2 6 2.72707869e-06
1 2 7 2.01197551e-06
1 2 8 2.55280682e-06
1 2 9 4.83503149e-06
1 2 10 2.36939273e-06
1 2 11 5.77248203e-07
1 2 12 1.48494343e-06
1 2 13 1.41401937e-06
1 2 14 8.94629915e-07
1 2 15 5.19234325e-07
1 2 16 3.67757764e-07
1 2 17 7.45330905e-07
1 2 18 4.96870868e-07
1 2 19 3.47667010e-07
1 2 20 4.50387590e-07
1 3 1 -1.37754711e-05
1 3 2 5.14933383e-06
1 3 3 1.83763821e-05
1 3 4 1.14573879e-05
1 3 5 -3.89040108e-06
1 3 6 3.31719448e-06
1 3 7 4.36291782e-06
1 3 8 4.56182662e-07
1 3 9 6.41274544e-06
1 3 10 1.37642074e-06
1 3 11 1.49384378e-06
1 3 12 1.98355787e-06
1 3 13 1.57438931e-06
1 3 14 1.51132040e-06
1 3 15 7.11535580e-07
1 3 16 9.20651581e-07
1 3 17 4.96581850e-07
1 3 18 3.35363016e-07
1 3 19 1.29260672e-07
1 3 20 1.76267081e-07
1 4 1 2.03407853e-05
1 4 2 4.51690150e-07
1 4 3 2.44988508e-05
1 4 4 -6.01498054e-06
1 4 5 4.97971420e-06
1 4 6 -4.12500578e-06
1 4 7 5.39616324e-07
1 4 8 6.41976566e-06
1 4 9 3.04060839e-06
1 4 10 2.91584867e-06
1 4 11 2.33761274e-06
1 4 12 2.47494439e-06
1 4 13 2.34616772e-06
1 4 14 1.75283144e-06
1 4 15 9.11769960e-07
1 4 16 1.60196986e-06
1 4 17 5.80798367e-07
1 4 18 4.48955056e-07
1 4 19 5.39405576e-07
1 4 20 4.43317756e-07
2 2 1 2.26730950e-05
2 2 2 2.16516500e-05
2 2 3 7.37973133e-06
2 2 4 -6.45737608e-06
2 2 5 1.48785401e-06
2 2 6 -2.55395464e-06
2 2 7 2.01208015e-06
2 2 8 1.48434832e-06
2 2 9 2.12791803e-06
2 2 10 4.41967445e-06
2 2 11 6.68007982e-06
2 2 12 5.28915919e-08
2 2 13 -1.48820359e-07
2 2 14 1.08636249e-06
2 2 15 6.84642209e-07
2 2 16 2.43520554e-07
2 2 17 1.10960726e-06
2 2 18 5.62070191e-07
2 2 19 2.95473113e-07
2 2 20 4.77889183e-07
2 3 1 6.85193872e-06
2 3 2 4.82185015e-06
2 3 3 1.36426895e-05
2 3 4 1.68891997e-06
2 3 5 8.59070807e-06
2 3 6 1.02657520e-05
2 3 7 3.94611671e-06
2 3 8 8.17275903e-06
2 3 9 4.88617642e-06
2 3 10 3.95831153e-06
2 3 11 7.81252187e-07
2 3 12 1.47604438e-06
2 3 13 1.69617323e-06
2 3 14 1.83814631e-06
2 3 15 1.20660727e-06
2 3 16 1.17863969e-06
2 3 17 7.94079890e-07
2 3 18 9.59826780e-07
2 3 19 5.49149128e-07
2 3 20 5.73964789e-07
2 4 1 1.27444441e-05
2 4 2 5.22765594e-06
2 4 3 3.95169322e-06
2 4 4 1.24091882e-05
2 4 5 -1.57374523e-06
2 4 6 -2.90727909e-06
2 4 7 1.63040182e-06
2 4 8 1.40014456e-06
2 4 9 6.84547419e-06
2 4 10 3.09799905e-06
2 4 11 5.20334745e-06
2 4 12 2.02426451e-06
2 4 13 7.77027356e-07
2 4 14 8.90175729e-07
2 4 15 3.11088790e-06
2 4 16 5.57694487e-07
2 4 17 9.74793240e-07
2 4 18 4.36318623e-07
2 4 19 9.69702035e-08
2 4 20 1.01753504e-06
3 3 1 -1.27725570e-05
3 3 2 4.86956937e-06
3 3 3 2.17083461e-05
3 3 4 3.94080706e-06
3 3 5 1.25780982e-05
3 3 6 1.05668012e-05
3 3 7 6.15870276e-06
3 3 8 7.91272056e-06
3 3 9 5.20817663e-06
3 3 10 5.72742533e-06
3 3 11 4.80683334e-06
3 3 12 3.71902833e-06
3 3 13 2.09752863e-06
3 3 14 3.91440429e-06
3 3 15 8.70491266e-07
3 3 16 1.07971606e-06
3 3 17 1.32508318e-06
3 3 18 1.05765266e-06
3 3 19 1.29175488e-06
3 3 20 7.45416722e-07
3 4 1 1.06238917e-05
3 4 2 1.52170013e-05
3 4 3 2.24289203e-05
3 4 4 1.15681455e-05
3 4 5 1.29697504e-05
3 4 6 1.16100188e-05
3 4 7 6.44688755e-06
3 4 8 7.52288416e-06
3 4 9 4.62224739e-06
3 4 10 5.34985233e-06
3 4 11 5.03839665e-06
3 4 12 1.77167811e-06
3 4 13 3.76941612e-06
3 4 14 4.76282795e-06
3 4 15 2.61295043e-06
3 4 16 2.71450909e-06
3 4 17 1.98618655e-06
3 4 18 1.94668660e-06
3 4 19 1.45344447e-06
3 4 20 1.28227283e-06
4 4 1 2.70617292e-05
4 4 2 5.88089609e-05
4 4 3 1.90306414e-05
4 4 4 6.83476732e-06
4 4 5 1.12409326e-05
4 4 6 1.66450108e-05
4 4 7 2.13764947e-05
4 4 8 1.43160387e-05
4 4 9 1.04616185e-05
4 4 10 4.06834095e-06
4 4 11 8.51995564e-06
4 4 12 4.09424984e-07
4 4 13 2.95977390e-06
4 4 14 5.13773600e-06
4 4 15 5.09138603e-06
4 4 16 1.96705570e-06
4 4 17 2.01519635e-06
4 4 18 2.43093399e-06
4 4 19 1.84938375e-06
4 4 20 2.24188686e-06
