# BIN1 BIN2 ANGBIN VALUE
1 1 1 1.06885244e-05
1 1 2 1.66583295e-05
1 1 3 7.22627063e-06
1 1 4 5.55877792e-06
1 1 5 -1.14075405e-06
1 1 6 9.58043369e-06
1 1 7 4.11232591e-06
1 1 8 1.85443317e-06
1 1 9 4.75013951e-06
1 1 10 2.49030151e-06
1 1 11 9.92184397e-07
1 1 12 2.68855820e-07
1 1 13 1.15435716e-07
1 1 14 1.05796315e-06
1 1 15 1.29483320e-06
1 1 16 2.91463144e-07
1 1 17 1.74310351e-08
1 1 18 1.61734788e-07
1 1 19 -5.23055435e-08
1 1 20 -8.32849552e-08
1 2 1 1.43861452e-05
1 2 2 1.06118757e-05
1 2 3 1.62717054e-05
1 2 4 7.30066618e-06
1 2 5 1.06343481e-05
1 2 6 5.92979981e-06
1 2 7 6.45365636e-06
1 2 8 5.18158880e-06
1 2 9 4.55472156e-06
1 2 10 5.28761801e-06
1 2 11 2.22190028e-06
1 2 12 -3.26265265e-07
1 2 13 9.38565979e-07
1 2 14 5.36384227e-07
1 2 15 5.27771883e-07
1 2 16 5.62322765e-07
1 2 17 2.89413132e-07
1 2 18 -2.65590205e-08
1 2 19 2.70088722e-08
1 2 20 -2.10178709e-07
1 3 1 2.76824063e-05
1 3 2 2.17849172e-05
1 3 3 1.69978139e-05
1 3 4 1.23737661e-05
1 3 5 1.14897043e-05
1 3 6 7.49161307e-06
1 3 7 9.25908713e-06
1 3 8 4.71374060e-06
1 3 9 1.14949393e-06
1 3 10 3.25726768e-06
1 3 11 3.18038873e-06
1 3 12 8.61032338e-07
1 3 13 2.63247755e-06
1 3 14 1.27485688e-06
1 3 15 8.31725786e-07
1 3 16 3.37805086e-07
1 3 17 2.50595083e-07
1 3 18 3.49938255e-07
1 3 19 5.12738681e-11
1 3 20 -1.40449359e-08
1 4 1 2.09936011e-05
1 4 2 2.60778478e-05
1 4 3 1.01903773e-05
1 4 4 1.70536808e-05
1 4 5 3.11391897e-06
1 4 6 5.06292030e-06
1 4 7 1.04796371e-05
1 4 8 6.90142456e-06
1 4 9 4.78389705e-06
1 4 10 1.97040426e-06
1 4 11 3.23369649e-06
1 4 12 2.61533372e-06
1 4 13 1.98179969e-06
1 4 14 1.37602681e-06
1 4 15 1.61287104e-06
1 4 16 1.14308862e-06
1 4 17 4.17169402e-07
1 4 18 3.88037899e-09
1 4 19 -5.24817695e-07
1 4 20 2.52081588e-07
2 2 1 2.95714787e-05
