# bin L_min L_max     L_av           PP      Error    Ahat
    1     1     7     5.39  1.86972e-08  5.061e-08   0.220
    2     8    20    15.26  1.45998e-07  2.650e-08   1.135
    3    21    39    30.98  1.40116e-07  1.723e-08   0.956
    4    40    65    53.12  1.38563e-07  8.749e-09   0.984
    5    66   100    83.01  1.19749e-07  6.832e-09   0.993
    6   101   144   121.49  8.77444e-08  5.773e-09   0.918
    7   145   198   169.10  6.07456e-08  4.491e-09   0.837
    8   199   263   227.41  4.24224e-08  3.999e-09   0.782
    9   264   338   298.28  4.08322e-08  4.623e-09   1.012
   10   339   425   381.20  3.64014e-08  3.391e-09   1.212
   11   426   525   473.50  2.44114e-08  3.650e-09   1.085
   12   526   637   577.19  1.21433e-08  3.511e-09   0.718
   13   638   762   697.05  2.62460e-09  3.041e-09   0.206
   14   763   901   827.66  9.54225e-09  3.284e-09   0.972
   15   902  1054   972.59  3.61573e-09  2.934e-09   0.476
   16  1055  1221  1131.06  5.46396e-09  3.685e-09   0.921
   17  1222  1404  1302.82  1.38498e-09  4.405e-09   0.295
   18  1405  1602  1492.77  7.72324e-09  4.337e-09   2.073
   19  1603  1816  1702.08 -3.63863e-09  5.625e-09  -1.227
   20  1817  2048  1927.59  3.26506e-09  6.559e-09   1.373
