# bin PP
1.000000000000000000e+00 1.076846809379399030e-07
2.000000000000000000e+00 1.833192212222850394e-07
3.000000000000000000e+00 2.154934873586094001e-07
4.000000000000000000e+00 2.111874717627967498e-07
5.000000000000000000e+00 1.857082663322117447e-07
6.000000000000000000e+00 1.529658350695834440e-07
7.000000000000000000e+00 1.229954155535260723e-07
8.000000000000000000e+00 1.004085111643132039e-07
9.000000000000000000e+00 8.543134239830587697e-08
1.000000000000000000e+01 6.954471205780702664e-08
1.100000000000000000e+01 5.252674276563620604e-08
1.200000000000000000e+01 4.615290045829948883e-08
1.300000000000000000e+01 4.240437173236146427e-08
1.400000000000000000e+01 3.261201143493021744e-08
1.500000000000000000e+01 3.049804319711080377e-08
1.600000000000000000e+01 2.251511781150752288e-08
1.700000000000000000e+01 2.281495115619714744e-08
1.800000000000000000e+01 2.081303894190072803e-08
1.900000000000000000e+01 1.849523236146279923e-08
2.000000000000000000e+01 1.816576004418984280e-08
