# bin L_min L_max     L_av           PP      Error    Ahat
    1     8    20    15.25  1.32985e-07  2.128e-08   1.091
    2    21    39    30.98  1.39163e-07  1.296e-08   1.006
    3    40    65    53.12  1.39189e-07  9.058e-09   1.050
    4    66   100    83.01  1.12986e-07  5.631e-09   0.998
    5   101   144   121.51  8.86102e-08  3.985e-09   0.988
    6   145   198   169.14  6.04116e-08  3.685e-09   0.887
    7   199   263   227.50  4.55627e-08  3.905e-09   0.897
    8   264   338   298.37  4.06540e-08  3.631e-09   1.077
    9   339   425   381.18  3.02662e-08  3.235e-09   1.077
   10   426   525   473.45  2.05458e-08  2.793e-09   0.977
   11   526   637   577.23  1.08335e-08  2.699e-09   0.687
   12   638   762   697.05  2.17968e-09  2.766e-09   0.184
   13   763   901   827.52  6.63375e-09  2.420e-09   0.728
   14   902  1054   972.43  7.83073e-09  2.823e-09   1.111
   15  1055  1221  1130.78  1.47101e-09  3.030e-09   0.268
   16  1222  1404  1303.10  4.57803e-09  3.480e-09   1.056
   17  1405  1602  1493.01  3.12843e-09  4.055e-09   0.910
   18  1603  1816  1702.38 -5.55068e-09  4.805e-09  -2.032
   19  1817  2048  1927.31 -1.18514e-09  4.858e-09  -0.542
