# bin L_min L_max     L_av           PP      Error    Ahat
    1     8    20    15.26  1.38813e-07  2.813e-08   1.139
    2    21    39    30.99  1.45128e-07  1.719e-08   1.049
    3    40    65    53.18  1.52155e-07  1.173e-08   1.148
    4    66   100    83.19  1.14456e-07  7.301e-09   1.012
    5   101   144   121.93  8.90767e-08  5.628e-09   0.996
    6   145   198   169.99  5.68937e-08  4.826e-09   0.840
    7   199   263   228.79  4.38062e-08  4.511e-09   0.867
    8   264   338   299.22  3.95948e-08  3.933e-09   1.052
    9   339   425   381.07  2.82080e-08  3.596e-09   1.004
   10   426   525   473.64  1.91910e-08  3.133e-09   0.913
   11   526   637   577.83  1.04291e-08  2.864e-09   0.662
   12   638   762   696.97  1.16258e-09  2.852e-09   0.098
   13   763   901   827.65  5.09710e-09  2.499e-09   0.560
   14   902  1054   972.48  6.18306e-09  2.769e-09   0.878
   15  1055  1221  1130.64  1.71815e-09  3.031e-09   0.313
   16  1222  1404  1303.11  4.53111e-09  3.396e-09   1.046
   17  1405  1602  1492.86  3.50141e-09  4.047e-09   1.019
   18  1603  1816  1702.90 -7.19904e-09  4.490e-09  -2.637
   19  1817  2048  1928.21 -6.01083e-10  4.793e-09  -0.275
