# bin L_min L_max     L_av           PP      Error    Ahat
    1     8    20    15.26  1.30410e-07  3.311e-08   1.049
    2    21    39    31.00  1.58550e-07  1.854e-08   1.129
    3    40    65    53.18  1.65620e-07  1.257e-08   1.235
    4    66   100    83.20  1.16900e-07  8.115e-09   1.023
    5   101   144   121.94  8.84700e-08  6.169e-09   0.981
    6   145   198   170.01  5.64300e-08  5.766e-09   0.826
    7   199   263   228.81  4.63000e-08  4.623e-09   0.909
    8   264   338   299.22  4.32500e-08  4.079e-09   1.137
    9   339   425   381.06  2.62100e-08  4.045e-09   0.921
   10   426   525   473.63  1.88900e-08  3.383e-09   0.886
   11   526   637   577.83  1.22700e-08  3.235e-09   0.766
   12   638   762   696.99  3.56000e-09  2.928e-09   0.294
   13   763   901   827.71  4.99000e-09  2.639e-09   0.534
   14   902  2048  1202.49  3.44000e-09  1.652e-09   0.664
