#       keff          klo          khi          obs         sdev          beff
#
     0.01578      0.01300      0.02195  21573.38836  33320.25582      1.16762
     0.01819      0.01502      0.02440  33254.63896  24572.79357      1.16745
     0.02099      0.01729      0.02820  13845.52953  17712.46771      1.16716
     0.02405      0.01984      0.03136  38360.58264  13320.48227      1.16674
     0.02776      0.02300      0.03571  24143.07699  10047.21709      1.16613
     0.03201      0.02663      0.04048  19709.29306   7413.82995      1.16532
     0.03691      0.03094      0.04601  12595.77528   5485.84481      1.16428
     0.04257      0.03591      0.05215  13558.60084   4077.68223      1.16294
     0.04912      0.04162      0.05983  18311.08054   2974.15048      1.16124
     0.05670      0.04824      0.06873  12080.73574   2140.39514      1.15910
     0.06527      0.05561      0.07867   9217.46084   1580.01728      1.15647
     0.07529      0.06455      0.08999   9750.49986   1127.95803      1.15317
     0.08698      0.07507      0.10351   9529.63935    818.49019      1.14906
     0.10037      0.08670      0.11898   6384.82545    601.70752      1.14409
     0.11581      0.09985      0.13679   5294.92081    446.65015      1.13813
     0.13360      0.11478      0.15748   4629.83669    335.07950      1.13109
     0.15412      0.13181      0.18139   3573.92724    254.13547      1.12290
     0.17774      0.15114      0.20891   3393.82814    195.23431      1.11358
     0.20489      0.17288      0.24062   2298.10000    152.73819      1.10320
     0.23592      0.19690      0.27653   1597.14976    123.50981      1.09193
     0.27062      0.22219      0.31395   1105.42903    107.20069      1.08019
     0.30618      0.23123      0.34782   1012.72489    110.33632      1.06912
