#sample  z	   moduli   sigma   
gold     0.0400    36.38    0.19    
gold     0.050     36.84    0.21    
gold     0.0307    35.90    0.20    
gold     0.0560    37.31    0.18    
gold     0.0331    35.54    0.20    
gold     0.0141    34.13    0.25    
gold     0.0460    36.35    0.21    
gold     0.0265    35.64    0.20    
gold     0.101     38.73    0.20    
gold     0.075     37.77    0.19    
gold     0.061     37.30    0.22    
gold     0.0141    34.12    0.25    
gold     0.0262    35.06    0.24    
gold     0.0430    36.53    0.19    
gold     0.0450    36.97    0.18    
gold     0.036     36.17    0.19    
gold     0.058     37.13    0.19    
gold     0.063     37.67    0.19    
gold     0.0186    34.96    0.22    
gold     0.079     37.94    0.18    
gold     0.088     38.07    0.28    
gold     0.0178    34.70    0.23    
gold     0.071     37.78    0.19    
gold     0.0251    35.09    0.21    
gold     0.052     37.16    0.18    
gold     0.0286    35.53    0.21    
gold     0.0490    36.90    0.20    
gold     0.050     37.08    0.19    
gold     0.0180    34.29    0.23    
silver   0.089     38.50    0.17    
silver   0.051     36.67    0.16    
gold     0.0244    35.09    0.20    
gold     0.0290    35.70    0.19    
gold     0.0161    34.50    0.24    
gold     0.0360    36.01    0.20    
silver   0.0116    32.96    0.29    
gold     0.478     42.48    0.23    
silver   0.053     37.17    0.15    
silver   0.230     40.44    0.46    
silver   0.300     40.76    0.60    
silver   0.067     37.54    0.34    
gold     0.450     42.13    0.21    
gold     0.480     42.37    0.20    
gold     0.615     42.85    0.23    
gold     0.400     42.04    0.19    
silver   0.498     43.21    0.24    
silver   0.465     42.81    0.22    
gold     0.0490    36.52    0.20    
gold     0.0219    34.70    0.22    
gold     0.3880    42.07    0.19    
gold     0.0152    34.11    0.25    
gold     0.0276    35.90    0.20    
gold     0.425     41.70    0.40    
gold     0.620     43.11    0.30    
gold     0.570     42.81    0.25    
gold     0.300     41.01    0.25    
gold     0.380     42.02    0.22    
silver   0.160     39.08    0.40    
silver   0.240     40.68    0.43    
gold     0.430     42.33    0.34    
silver   0.0247    35.33    0.25    
gold     0.124     39.20    0.22    
gold     0.0165    33.82    0.27    
gold     0.0167    34.21    0.23    
gold     0.0348    36.17    0.19    
silver   0.490     42.58    0.19    
silver   0.450     42.58    0.19    
gold     0.828     43.96    0.46    
gold     0.495     42.25    0.19    
silver   0.570     42.77    0.19    
gold     0.0132    34.02    0.26    
gold     0.580     43.04    0.21    
gold     0.526     42.56    0.18    
gold     0.172     39.79    0.18    
gold     0.180     39.98    0.18    
gold     0.472     42.46    0.19    
gold     0.430     41.99    0.18    
gold     0.657     43.27    0.20    
gold     0.0166    34.54    0.23    
gold     0.450     42.10    0.23    
gold     0.320     41.45    0.18    
gold     0.581     42.63    0.19    
gold     0.440     42.57    0.40    
gold     0.508     41.64    0.35    
gold     0.416     42.10    0.19    
gold     0.830     43.85    0.19    
gold     0.579     42.86    0.19    
gold     0.420     41.76    0.23    
gold     0.518     42.83    0.30    
gold     0.334     40.92    0.30    
silver   0.970     44.13    0.38    
gold     0.0175    34.52    0.25    
gold     0.500     42.74    0.20    
gold     0.440     42.08    0.19    
gold     0.0297    36.12    0.20    
gold     0.0104    33.73    0.33    
gold     0.778     43.81    0.35    
gold     0.860     44.03    0.30    
gold     0.538     42.66    0.18    
gold     1.755     45.53    0.35    
gold     0.886     42.91    0.81    
gold     0.828     43.61    0.61    
gold     0.630     42.62    0.24    
gold     0.0170    34.47    0.23    
gold     0.460     41.83    0.40    
silver   0.638     43.30    0.36    
gold     0.740     43.35    0.30    
silver   0.644     42.78    0.26    
gold     0.430     42.36    0.25    
gold     0.0104    33.21    0.32    
gold     0.0171    34.68    0.24    
gold     0.0327    36.08    0.19    
gold     0.053     36.97    0.18    
gold     0.0170    34.18    0.23    
gold     0.0234    35.36    0.20    
gold     0.460     42.56    0.27    
gold     0.500     42.75    0.19    
gold     0.0257    35.41    0.20    
gold     0.0157    34.58    0.24    
gold     0.0316    35.85    0.19    
gold     0.0104    33.56    0.31    
silver   0.0121    34.05    0.32    
gold     0.0141    34.43    0.26    
gold     0.0136    33.73    0.26    
gold     0.0380    36.67    0.18    
gold     0.278     41.00    0.41    
gold     1.056     44.25    0.23    
gold     0.949     43.99    0.25    
gold     0.815     43.76    0.33    
gold     0.455     42.29    0.28    
gold     1.19	   44.19    0.34    
silver   0.369     41.62    0.31    
gold     0.477     42.38    0.21    
gold     0.0260    35.62    0.20    
gold     0.0193    34.59    0.23    
gold     0.0266    35.36    0.21    
gold     0.0360    36.39    0.18    
gold     0.0233    35.14    0.21    
silver   0.0164    34.47    0.23    
gold     0.0164    34.41    0.24    
gold     0.500     42.75    0.24    
gold     0.490     42.41    0.25    
gold     0.470     42.74    0.23    
gold     0.540     41.96    0.41    
silver   0.420     40.79    0.32    
gold     0.470     42.77    0.21    
gold     0.543     42.68    0.19    
gold     0.0218    35.06    0.21    
gold     0.0162    34.13    0.23    
gold     0.873     43.75    0.38    
gold     0.771     43.12    0.17    
gold     0.811     43.97    0.35    
gold     0.798     43.88    0.31    
gold     0.832     43.55    0.29    
gold     0.882     43.90    0.30    
gold     0.340     40.71    0.27    
gold     0.397     40.89    0.30    
gold     0.570     42.88    0.31    
gold     0.710     43.05    0.32    
gold     0.528     42.77    0.25    
gold     0.884     44.23    0.19    
silver   0.698     43.33    0.32    
gold     0.815     44.09    0.28    
gold     0.977     43.91    0.26    
silver   0.935     43.99    0.38    
silver   0.719     43.22    0.26    
silver   0.422     42.02    0.17    
silver   0.514     42.39    0.27    
gold     0.475     42.14    0.19    
gold     0.95	   44.06    0.26    
gold     1.30	   45.27    0.19    
silver   1.40	   45.09    0.45    
gold     0.526     43.01    0.27    
gold     1.305     44.70    0.22    
silver   0.216     40.33    0.18    
gold     0.735     43.09    0.19    
gold     1.140     44.84    0.30    
gold     1.265     45.20    0.20    
gold     1.551     45.30    0.22    
gold     0.67	   43.19    0.28    
gold     0.64	   43.07    0.21    
gold     1.340     45.05    0.25    
gold     0.954     44.28    0.31    
gold     0.839     43.86    0.22    
gold     0.899     43.64    0.25    
gold     0.94	   43.87    0.20  
